iter	RMSE
154	6.527148162
155	6.525711371
156	6.524394152
157	6.522859512
158	6.522018919
159	6.52064508
160	6.519216638
161	6.517546207
162	6.516627561
163	6.515253896
164	6.514200707
165	6.512811495
166	6.511520885
167	6.5102017
168	6.509110614
169	6.508046285
170	6.506708474
171	6.50498941
172	6.503696659
173	6.502140047
174	6.500974582
175	6.499256267
176	6.498100086
177	6.497061151
178	6.496264443
179	6.495031237
180	6.493939733
181	6.492818799
182	6.491370754
183	6.490281934
184	6.489429783
185	6.488464689
186	6.487019963
187	6.485568432
188	6.484837241
189	6.483944978
190	6.482996079
191	6.482330913
192	6.48108883
193	6.480115253
194	6.478970429
195	6.478051167
196	6.47621013
197	6.475419507
198	6.474404256
199	6.473471838
200	6.47224391
201	6.471000295
202	6.470190664
203	6.468928663
204	6.467854274
205	6.466972777
206	6.465315139
207	6.464522624
208	6.463470685
209	6.462184034
210	6.461102771
211	6.460412886
212	6.459597107
213	6.458786389
214	6.457903607
215	6.456861343
216	6.456182666
217	6.455199394
218	6.454137117
219	6.453009359
220	6.452313207
221	6.451733797
222	6.450811281
223	6.449979369
224	6.449291082
225	6.448188089
226	6.446859268
227	6.445934136
228	6.445147333
229	6.444780703
230	6.443885306
231	6.442806087
232	6.441877099
233	6.440971527
234	6.439781889
235	6.438709194
236	6.438040461
237	6.437220809
238	6.436338761
239	6.435619335
240	6.434746046
241	6.433728191
242	6.433009564
243	6.43258458
244	6.431949164
245	6.431307652
246	6.430113436
247	6.429361475
248	6.428198988
249	6.427464661
250	6.426791605
251	6.425341821
252	6.424564983
253	6.423449829
254	6.422728202
255	6.42124478
256	6.420580844
257	6.419419658
258	6.418606767
259	6.417911856
260	6.41733051
261	6.416504848
262	6.415577415
263	6.414823245
264	6.414292719
265	6.413746465
266	6.412829646
267	6.411916091
268	6.41108217
269	6.410638123
270	6.409756855
271	6.408568197
272	6.407473694
273	6.407085731
274	6.406533085
275	6.405479109
276	6.404751076
277	6.404017515
278	6.403348583
279	6.402834579
280	6.401690777
281	6.401089821
282	6.400142665
283	6.399122331
284	6.398178136
285	6.39740766
286	6.396365352
287	6.395670299
288	6.394438185
289	6.393600482
290	6.392554506
291	6.391964917
292	6.391140744
293	6.390449819
294	6.389655606
295	6.388978513
296	6.388140108
297	6.387297823
298	6.386974053
299	6.386286774
300	6.38570247
301	6.385116552
302	6.384537268
303	6.383757466
304	6.383058382
305	6.382511544
306	6.381738075
307	6.38088134
308	6.380134679
309	6.379374874
310	6.378471043
311	6.377703597
312	6.376792985
313	6.375879282
314	6.375046973
315	6.374039621
316	6.373143286
317	6.372503446
318	6.371831674
319	6.370914078
320	6.36998222
321	6.36900142
322	6.368384279
323	6.367894579
324	6.367370333
325	6.366572317
326	6.365912719
327	6.365323721
328	6.364474607
329	6.363687945
330	6.363129139
331	6.362482663
332	6.36192539
333	6.361338952
334	6.360550949
335	6.360067721
336	6.359589049
337	6.358857729
338	6.358085058
339	6.357478951
340	6.356551105
341	6.355598815
342	6.354809229
343	6.354246282
344	6.3535932
345	6.353169679
346	6.352424283
347	6.351851851
348	6.351332661
349	6.351009913
350	6.350329763
351	6.349543421
352	6.348801646
353	6.348092412
354	6.347272451
355	6.346377067
356	6.345899925
357	6.345371753
358	6.344600331
359	6.343673649
360	6.343027851
361	6.342226127
362	6.341823381
363	6.341190329
364	6.340349452
365	6.339872396
366	6.339511111
367	6.338827207
368	6.338300227
369	6.337776891
370	6.336996748
371	6.336362339
372	6.335536833
373	6.335169896
374	6.334398481
375	6.333971366
376	6.333347057
377	6.332996798
378	6.332434924
379	6.332003475
380	6.331481741
381	6.33044489
382	6.330160954
383	6.329421008
384	6.328895061
385	6.328462672
386	6.327826602
387	6.327218248
388	6.326882772
389	6.326395705
390	6.326016069
391	6.3256251
392	6.325136365
393	6.324511201
394	6.323897116
395	6.323205643
396	6.322488592
397	6.321908211
398	6.321390225
399	6.320836148
400	6.320162471
401	6.319433212
402	6.318633739
403	6.318237309
404	6.3176178
405	6.31726295
406	6.316494822
407	6.315887618
408	6.314969898
409	6.314291096
410	6.313702376
411	6.312898676
412	6.31204627
413	6.31142803
414	6.310782541
415	6.309869928
416	6.309389822
417	6.308828036
418	6.308396763
419	6.307727413
420	6.306300902
421	6.305514102
422	6.305010602
423	6.304327121
424	6.303945949
425	6.303061917
426	6.302480631
427	6.301947028
428	6.301584642
429	6.30101264
430	6.300369765
431	6.299901488
432	6.299561548
433	6.298818006
434	6.29823369
435	6.297772095
436	6.297297118
437	6.296686713
438	6.29608052
439	6.295767214
440	6.295354661
441	6.294833106
442	6.294401919
443	6.293854022
444	6.293184564
445	6.292572072
446	6.292154502
447	6.291668981
448	6.290950945
449	6.290678848
450	6.290229773
451	6.289716883
452	6.289267135
453	6.288377736
454	6.287700374
455	6.286965859
456	6.286691237
457	6.285852897
458	6.285178912
459	6.284688814
460	6.28365145
461	6.282972344
462	6.28250629
463	6.281955283
464	6.281382003
465	6.2811941
466	6.28068524
467	6.280153706
468	6.279776218
469	6.279273218
470	6.278936337
471	6.278617984
472	6.278000465
473	6.277518101
474	6.276788259
475	6.276482221
476	6.276022675
477	6.275652708
478	6.274854912
479	6.273977188
480	6.27356657
481	6.272718533
482	6.272090365
483	6.271525273
484	6.270817458
485	6.270302794
486	6.269924694
487	6.269269788
488	6.268591488
489	6.267918081
490	6.267149289
491	6.266729565
492	6.266088815
493	6.265577729
494	6.265136083
495	6.264355034
496	6.263916438
497	6.263143239
498	6.262548098
499	6.262036709
500	6.261470092
501	6.261072811
502	6.260163172
503	6.259800087
504	6.259117434
505	6.258512727
506	6.258101141
507	6.257508585
508	6.257105623
509	6.256415662
510	6.255902371
511	6.255507835
512	6.254842683
513	6.254315206
514	6.253590938
515	6.253471432
516	6.25283566
517	6.252308053
518	6.251834774
519	6.251451548
520	6.251003107
521	6.250255577
522	6.249517557
523	6.249206168
524	6.248335917
525	6.247738325
526	6.247117463
527	6.246777628
528	6.246147278
529	6.245697237
530	6.244965386
531	6.244557108
532	6.243974771
533	6.24348653
534	6.242786116
535	6.242445213
536	6.242172322
537	6.241641043
538	6.24128773
539	6.240720397
540	6.24017447
541	6.239648786
542	6.239273183
543	6.23868297
544	6.238215565
545	6.2376462
546	6.237250704
547	6.23681862
548	6.236524201
549	6.235687082
550	6.235287575
551	6.234754268
552	6.234445446
553	6.233759746
554	6.233316587
555	6.23262277
556	6.232004957
557	6.231719247
558	6.230868646
559	6.230432379
560	6.229976667
561	6.229135467
562	6.228348221
563	6.227731384
564	6.227315981
565	6.227069976
566	6.226584303
567	6.226098143
568	6.225552374
569	6.224885503
570	6.224629032
571	6.22428081
572	6.223834067
573	6.22348573
574	6.222953219
575	6.222445457
576	6.222080022
577	6.221441828
578	6.220818225
579	6.22007489
580	6.219612367
581	6.219275127
582	6.218777806
583	6.218321731
584	6.217944158
585	6.217421438
586	6.216963409
587	6.216292393
588	6.215893018
589	6.215585904
590	6.215112638
591	6.214746751
592	6.214172614
593	6.213569294
594	6.212894849
595	6.212520948
596	6.21217551
597	6.21187248
598	6.211416591
599	6.21096938
600	6.210679369
601	6.210158015
602	6.209560937
603	6.20930885
604	6.208773538
605	6.208365522
606	6.208060641
607	6.207480019
608	6.207037496
609	6.206763816
610	6.206329412
611	6.206001473
612	6.205705768
613	6.205351913
614	6.20432062
615	6.20368633
616	6.203227941
617	6.202874509
618	6.202424146
619	6.201956286
620	6.2015338
621	6.201171516
622	6.200862268
623	6.200271574
624	6.199880825
625	6.199354319
626	6.199008164
627	6.198515513
628	6.198217127
629	6.197728833
630	6.197373711
631	6.196992929
632	6.196641059
633	6.196213545
634	6.195628763
635	6.195099949
636	6.194680272
637	6.194104778
638	6.193680162
639	6.193349367
640	6.192719131
641	6.192204546
642	6.191836425
643	6.191124292
644	6.190951037
645	6.190461949
646	6.189886774
647	6.189395277
648	6.188934863
649	6.188590062
650	6.188255269
651	6.187812271
652	6.187237623
653	6.18676373
654	6.18634866
655	6.185868617
656	6.185428098
657	6.184858041
658	6.184240028
659	6.183999051
660	6.183587863
661	6.183037232
662	6.18283813
663	6.182211788
664	6.181567352
665	6.181167557
666	6.180849102
667	6.179947037
668	6.179591653
669	6.179110785
670	6.178905499
671	6.178585928
672	6.178289865
673	6.177784027
674	6.177455291
675	6.177260833
676	6.176739303
677	6.176322227
678	6.175644118
679	6.175208654
680	6.174834559
681	6.174644886
682	6.174095909
683	6.173856138
684	6.173407688
685	6.172834894
686	6.172340828
687	6.171946224
688	6.171560147
689	6.171147683
690	6.170553047
691	6.170050467
692	6.169201541
693	6.168758209
694	6.168313647
695	6.1679058
696	6.16752564
697	6.167175499
698	6.166958842
699	6.166457325
700	6.166110986
701	6.165770752
702	6.165354816
703	6.164828012
704	6.164490489
705	6.164003262
706	6.16344108
707	6.163158921
708	6.16278021
709	6.162359485
710	6.162033312
711	6.161527653
712	6.161099276
713	6.160862989
714	6.160614217
715	6.160058709
716	6.1597988171717	6.1595376171718	6.158990832
719	6.158600569
720	6.157983356
721	6.157509317
722	6.15709549
723	6.156533094
724	6.15610565
725	6.155593179
726	6.155274118
727	6.154962913
728	6.1547099627729	6.1541425473730	6.1537516573731	6.1532488173732	6.1529113733733	6.152423773734	6.1521247273735	6.1517646873736	6.151429737	737	6.150958738	738	6.15058739	6739	6.15016740	6740	6.14980741	6741	6.149344327
742	6.148659949
743	6.148239812
744	6.14779745	6745	6.14744746	6746	6.14669747	6747	6.1463748	6.748	6.1459749	6749	6.14564750	6750	6.14500751	6751	6.14435752	6752	6.14387753	6753	6.14344754	6754	6.14291755	6755	6.14251756	6756	6.14197757	6757	6.14167758	6758	6.14130759	6759	6.14083760	6760	6.14014761	6761	6.13960762	6762	6.13916763	6763	6.13856764	6764	6.13821765	6765	6.13795766	6766	6.13721767	767	6.136910768	6.113064702
769	6.112502985
770	6.112169297
771	6.111902204
772	6.111644502
773	6.111330511
774	6.110983789
775	6.110548912
776	6.110237666
777	6.109754511
778	6.109460187
779	6.109024004
780	6.108838204
781	6.108460261
782	6.108153016
783	6.107786229
784	6.107262775
785	6.106920425
786	6.106407362
787	6.105972444
788	6.105564666
789	6.105235912
790	6.104705665
791	6.104435302
792	6.103799555
793	6.103392759
794	6.10315071
795	6.102708956
796	6.102372634
797	6.101979187
798	6.101807864
799	6.101463676
800	6.100875557
801	6.100540127
802	6.100170553
803	6.099917987
804	6.099482763
805	6.099280089
806	6.09874872
807	6.098248455
808	6.09794753
809	6.097585444
810	6.097168112
811	6.096829961
812	6.09626958
813	6.09575599
814	6.095338012
815	6.095013241
816	6.09470011
817	6.094130244
818	6.093808527
819	6.093471968
820	6.092972181
821	6.092521495
822	6.092082402
823	6.091470713
824	6.091212215
825	6.090494253
826	6.089995062
827	6.089553395
828	6.089018604
829	6.088916103
830	6.088587633
831	6.08811445
832	6.087846717
833	6.087529558
834	6.08707074
835	6.086898027
836	6.086475438
837	6.086152098
838	6.085955985
839	6.085219955
840	6.084699243
841	6.084451765
842	6.083939303
843	6.083742373
844	6.083326392
845	6.083063918
846	6.082729687
847	6.082396295
848	6.082046227
849	6.081741723
850	6.081479987
851	6.081125751
852	6.080807376
853	6.080434725
854	6.080008506
855	6.079601168
856	6.07902875
857	6.078620194
858	6.077930043
859	6.077653088
860	6.077051141
861	6.076502997
862	6.076241616
863	6.076060193
864	6.075804236
865	6.075390537
866	6.075101381
867	6.07472326
868	6.074272947
869	6.074004351
870	6.073738783
871	6.073398028
872	6.072807479
873	6.072262987
874	6.071695871
875	6.071358704
876	6.071095673
877	6.070731832
878	6.07028499
879	6.070064703
880	6.069907193
881	6.069674876
882	6.069376283
883	6.068942529
884	6.068627904
885	6.068309995
886	6.067972531
887	6.067533039
888	6.067232176
889	6.066692493
890	6.066429295
891	6.06582037
892	6.065236284
893	6.064943371
894	6.064650286
895	6.064332882
896	6.063774848
897	6.063439345
898	6.063096324
899	6.062823861
900	6.062429469
901	6.062039399
902	6.061528233
903	6.061011572
904	6.060580072
905	6.060224564
906	6.059865062
907	6.059482197
908	6.059148132
909	6.058769031
910	6.058319975
911	6.057874779
912	6.057678721
913	6.057413905
914	6.057126855
915	6.056696997
916	6.056447572
917	6.056004573
918	6.055692541
919	6.055235392
920	6.054801138
921	6.054369168
922	6.053882274
923	6.053498751
924	6.053073742
925	6.052664831
926	6.052064075
927	6.051574933
928	6.051159684
929	6.050785979
930	6.050396049
931	6.049965613
932	6.04962451
933	6.049141298
934	6.0487001
935	6.048081174
936	6.047779557
937	6.04740901
938	6.047191163
939	6.04669927
940	6.046277527
941	6.046049266
942	6.045762706
943	6.045478526
944	6.045194451
945	6.044852803
946	6.044359732
947	6.044131136
948	6.043856468
949	6.0436950	6.950	6.0432951	6.951	6.0430952	6.952	6.0426953	6.953	6.0422954	6.954	6.0419955	6.044187254
956	6.043894068
957	6.043286481
958	6.042904089
959	6.042349924
960	6.042059976
961	6.041749598
962	6.041495662
963	6.041200266
964	6.040931764
965	6.040703417
966	6.040417596967	6.04017947967	6.061622972
968	6.061273329
969	6.061009152
970	6.060733954
971	6.06036008
972	6.059984305
973	6.059702833
974	6.059219411
975	6.058862336
976	6.058470004
977	6.05811949
978	6.057753503
979	6.057507865
980	6.057105554
981	6.056762314
982	6.056286032
983	6.056002462
984	6.05577421
985	6.055555657
986	6.055159394
987	6.054953404
988	6.054709076
989	6.054318698
990	6.053925298
991	6.05359123
992	6.053408887
993	6.053029113
994	6.052677823
995	6.052399821
996	6.052061204
997	6.051728238
998	6.051490614
999	6.051269654
5
